,"ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE",Eclectic,Rolling Minimum
,"Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004",,
,"3/04/2023, PRACTICE","3/04/2023, PRACTICE","3/04/2023, PRACTICE",,
,"12:16:00 PM, Tires: Slick Medium (M) ","12:16:00 PM, Tires: Slick Medium (M) ","12:16:00 PM, Tires: Slick Medium (M) ",,
,Lap 1,Lap 2,Lap 3,,
Str 0-1 (End),4.980,4.898,4.955,4.898,4.955
Turn 1,3.488,3.570,3.420,3.420,3.420
Str 1-2,3.862,3.874,3.805,3.805,3.805
Turn 2,1.786,1.720,1.715,1.715,1.715
Str 2-3,1.419,1.380,1.408,1.380,1.408
Turn 3,3.389,3.333,3.370,3.333,3.370
Str 3-4,5.460,5.500,5.444,5.444,5.444
Turn 4,1.309,1.310,1.310,1.309,1.310
Str 4-5,1.007,1.009,1.008,1.007,1.008
Turn 5,1.164,1.163,1.161,1.161,1.161
Str 5-6,1.112,1.116,1.127,1.112,1.127
Turn 6,3.605,3.611,3.595,3.595,3.595
Str 6-7,2.077,2.071,2.065,2.065,2.065
Turn 7,2.534,2.543,2.557,2.534,2.557
Str 7-8,1.861,1.888,1.922,1.861,1.922
Turn 8,2.577,2.542,2.501,2.501,2.501
Str 8-9,2.589,2.631,2.495,2.495,2.495
Turn 9,3.236,3.291,3.276,3.236,3.276
Str 9-10,8.526,8.538,8.380,8.380,8.380
Turn 10,0.794,0.794,0.813,0.794,0.794
Str 10-11,1.462,1.480,1.518,1.462,1.480
Turn 11,1.685,1.677,1.741,1.677,1.677
Str 11-12,4.703,4.627,4.681,4.627,4.627
Turn 12,2.122,2.074,2.137,2.074,2.074
Str 12-13,1.554,1.632,1.547,1.547,1.632
Turn 13,3.028,3.108,3.024,3.024,3.108
Str 0-1 (Start),3.447,3.460,3.439,3.439,3.460
Totals,74.776,74.840,74.415,73.895,74.366
