Session,Setup
74.091 21-03-23,f_2004 pointy
74.295 15-03-23,f_2004 more absorption (for zandvoort)
74.314 16-03-23,f_2004 more absorption (for zandvoort)
74.333 16-03-23,f_2004 more absorption (for zandvoort)
74.343 16-03-23,f_2004 pointy susp changes 3-04-23
74.374 27-03-23,f_2004 pointy
74.374 05-04-23,f_2004 pointy susp changes 5-04-23
74.415 03-04-23,f_2004 pointy less wing 3-04-23
74.425 14-03-23,f_2004 more absorption (for zandvoort)
74.662 20-03-23,f_2004 pointy
74.803 03-04-23,f_2004 pointy modified 3-04-23
